title,price,area,bedrooms,bathrooms,parking,floors,road_ft,facing,condition,seller,detail_url,location_Bhaktapur,location_Kathmandu,location_Lalitpur,location_Pokhara
Bunglow House On Sale at Budhanilkantha,99900000,13.0,6,2,1,4.0,20,North,Like New,Sagun Homes,https://hamrobazaar.com/detail/EC7039FA-25B5-A17F-147F-D30FD8714BFB,0,1,0,0
"New House For Sale at Bafal, Kathmandu",50000000,1.25,5,3,1,2.0,16,South,Like New,Sagun Homes,https://hamrobazaar.com/detail/22C36C32-6427-9356-0FDB-9051A1908C6B,0,1,0,0
"House For Sale at Tokha, Bhatkeko Pul",21000000,4.25,5,3,1,2.0,13,North,Like New,Sagun Homes,https://hamrobazaar.com/detail/0DE964D6-E2E8-0944-2A16-B55ED54EE3B4,0,1,0,0
Brand New Commercial Building On Sale at Samakhusi,55000000,0.75,9,4,1,4.0,20,Unknown,Brand New,Sagun Homes,https://hamrobazaar.com/detail/9D849A40-16C2-1FA2-C573-A7E4F19F19C4,0,1,0,0
House For Sale At Thulo Bharyang,20150000,3.1,0,0,0,0.0,0,Unknown,Like New,Singh & Associates Property Management Company,https://hamrobazaar.com/detail/32EDFD83-1A16-078D-0D16-588C6C485AAC,0,1,0,0
Brand New Semi Bunglow House For Sale at Bhangal,43500000,5.0,6,2,1,3.0,13,West South,Brand New,Sagun Homes,https://hamrobazaar.com/detail/C136FFD1-DD50-4A8C-1AAF-A2AC9A7949E8,0,1,0,0
Patan House,2800000,0.0,0,0,0,0.0,0,Unknown,Used,Subash,https://hamrobazaar.com/detail/664F7CF3-813F-71E9-2A71-D5174D3BD8EB,0,0,1,0
Brand New Semi Bunglow House On Sale at Bhangal,36000000,4.0,6,4,1,3.0,20,North East,Brand New,Sagun Homes,https://hamrobazaar.com/detail/3D01680D-2920-E8C2-3C13-F1D06A8FB22D,0,1,0,0
Brand New Semi Bunglow House For Sale at Bhangal,52500000,6.0,6,3,1,3.0,16,East,Brand New,Sagun Homes,https://hamrobazaar.com/detail/FDD2E219-5F8F-9732-381D-F2B20D46AC8B,0,1,0,0
Brand New Semi Bunglow House On Sale at Bhangal,42500000,4.75,6,3,1,3.0,27,North East,Brand New,Sagun Homes,https://hamrobazaar.com/detail/C787B739-70F7-095C-4142-A93C3DA7BC91,0,1,0,0
Full Furnished Semi Bunglow House On Sale at Bhangal,38500000,4.0,6,2,1,3.0,13,South,Brand New,Sagun Homes,https://hamrobazaar.com/detail/A604770E-180C-4A1E-6D6B-795395D7DA45,0,1,0,0
"New House For Sale at Manamaiju, ThapaGaun Pul",27500000,4.0,7,3,1,3.0,13,East,Like New,Sagun Homes,https://hamrobazaar.com/detail/9D1E279D-1E25-87E8-9798-292E0006781B,0,1,0,0
"New House For Sale at Manamaiju, Nearby Temple",31000000,4.0,6,3,1,3.0,10,South,Like New,Sagun Homes,https://hamrobazaar.com/detail/CAF98D23-9EE8-435A-E024-23689A814AEB,0,1,0,0
"Semi Bunglow House On Sale at Jyotinagar, Sukedhara",38500000,3.5,6,2,1,3.0,20,North East,Brand New,Sagun Homes,https://hamrobazaar.com/detail/FC417510-6EB1-BF07-EF09-F02329F6F71F,0,1,0,0
"Semi Bunglow House On Sale at Sukedhara, Ekatabasti",58900000,6.375,6,3,1,2.5,16,East south,Brand New,Sagun Homes,https://hamrobazaar.com/detail/E61F04C0-8C9D-F92D-F0A8-D88C377277CD,0,1,0,0
Brand New Semi Bunglow House On Sale at Dhapasi,40000000,3.5,6,2,1,3.0,13,West,Brand New,Sagun Homes,https://hamrobazaar.com/detail/32E55188-810F-EDFB-AF3A-DB598E40665B,0,1,0,0
House On Sale,26000000,0.0,0,0,0,0.0,0,Unknown,Like New,kotihomes Nepal,https://hamrobazaar.com/detail/05EDA1E1-4C5D-9616-A1EA-2B2663AA8E55,0,1,0,0
"Brand New Semi Bunglow On Sale at Tokha, MeghaCity",28000000,3.0,5,2,1,3.0,20,South,Brand New,Sagun Homes,https://hamrobazaar.com/detail/0BBAB7EE-E9B7-EE0B-BB6A-58AB85BD5822,0,1,0,0
Brand New Semi Bunglow House On Sale at Tokha,30000000,3.75,7,2,1,3.0,14,West,Brand New,Sagun Homes,https://hamrobazaar.com/detail/34ADAD2E-9EB4-6857-E4C2-3A36E95A5C6B,0,1,0,0
"New House For Sale at Basundhara, Ishan Hospital",48000000,6.5,7,2,1,3.0,8,East,Like New,Sagun Homes,https://hamrobazaar.com/detail/7159C27E-6F53-E93A-18C1-29D39C6D6814,0,1,0,0
"Brand New Semi Bunglow On Sale at Tokha, MeghaCity",26500000,0.0,6,4,1,3.0,13,South,Brand New,Sagun Homes,https://hamrobazaar.com/detail/ECC8F9C8-2BDA-6C08-EEAB-BA14A13D00DC,0,1,0,0
"Brand New Semi Bunglow On Sale at Tokha, Grande",42500000,4.2,6,4,1,3.0,20,East,Brand New,Sagun Homes,https://hamrobazaar.com/detail/C05A3005-7FA5-A0F5-D41C-3DAA48FC11CF,0,1,0,0
